No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue,Volume,Industry,Sector,Net Income,FCF,Net Cash,Rev. Growth
1507,GSRT,GSR III Acquisition Corp.,292.02M,10.01,-0.30%,-,63,Shell Companies,Financials,-,949.30K,-,1.79M
1508,EM,Smart Share Global Limited,291.75M,1.130,0.89%,261.96M,"95,641",Personal Services,Consumer Discretionary,-40.10%,3.85M,-,411.80M
1509,SHYF,"The Shyft Group, Inc.",291.68M,8.35,-7.22%,786.18M,"191,791",Farm & Heavy Construction Machinery,Industrials,-9.86%,-2.80M,16.40M,-159.54M
1510,ATAI,Atai Life Sciences N.V.,291.51M,1.470,-6.37%,308.00K,"1,185,756",Biotechnology,Healthcare,-1.91%,-149.27M,-82.44M,35.42M
1511,FSBW,"FS Bancorp, Inc.",291.07M,38.00,-1.71%,139.15M,"21,039",Banks - Regional,Financials,0.09%,34.45M,49.19M,-322.04M
1512,LPBB,Launch Two Acquisition Corp.,290.95M,10.12,0.10%,-,200,Shell Companies,Financials,-,-,-,-
1513,AIP,"Arteris, Inc.",290.32M,7.09,-5.97%,57.72M,"125,932",Semiconductors,Technology,7.56%,-33.64M,-1.04M,37.85M
1514,TTSH,"Tile Shop Holdings, Inc.",289.83M,6.49,-0.92%,347.07M,"47,767",Home Improvement Retail,Consumer Discretionary,-7.97%,2.32M,12.57M,-121.62M
1515,PBFS,"Pioneer Bancorp, Inc.",289.31M,11.51,-2.21%,88.12M,"5,847",Banks - Regional,Financials,21.67%,19.20M,32.20M,37.55M
1516,WEYS,"Weyco Group, Inc.",289.28M,30.29,-2.04%,290.29M,"7,843",Footwear & Accessories,Consumer Discretionary,-8.73%,30.32M,36.34M,66.28M
1517,MCFT,"MasterCraft Boat Holdings, Inc.",288.81M,17.24,-2.38%,311.26M,"60,172",Recreational Vehicles,Consumer Discretionary,-39.84%,-6.68M,-13.52M,62.86M
1518,LOVE,The Lovesac Company,287.82M,18.65,-0.05%,689.65M,"266,535","Furnishings, Fixtures & Appliances",Consumer Discretionary,0.20%,7.20M,28.75M,-121.18M
1519,VMD,"Viemed Healthcare, Inc.",287.32M,7.27,0.28%,224.26M,"45,727",Medical Devices,Healthcare,22.54%,11.27M,1.32M,10.67M
1520,NYXH,Nyxoah S.A.,287.03M,7.65,-4.38%,4.68M,"81,347",Medical Instruments & Supplies,Healthcare,3.98%,-61.33M,-54.58M,65.12M
1521,IVA,Inventiva S.A.,285.47M,2.905,-4.54%,15.24M,"3,308",Biotechnology,Healthcare,-36.43%,-190.72M,-,-
1522,DMRC,Digimarc Corporation,284.95M,13.26,-4.33%,38.42M,"252,192",Information Technology Services,Technology,10.24%,-39.01M,-26.78M,22.74M
1523,GOCO,"GoHealth, Inc.",284.85M,12.38,-0.16%,798.89M,"37,037",Insurance Brokers,Financials,8.74%,-6.59M,-35.34M,-487.05M
1524,BBCP,"Concrete Pumping Holdings, Inc.",284.35M,5.36,1.32%,414.61M,"132,515",Engineering & Construction,Industrials,-7.12%,15.50M,40.75M,-357.96M
1525,EXFY,"Expensify, Inc.",284.29M,3.110,-6.04%,139.24M,"388,507",Software - Application,Technology,-7.60%,-10.06M,23.88M,42.31M
1526,SNFCA,Security National Financial Corporation,283.08M,12.15,-3.65%,330.16M,"29,234",Mortgage Finance,Financials,-6.14%,29.44M,69.49M,63.55M
1527,TBCH,Turtle Beach Corporation,281.99M,14.12,-3.09%,372.77M,"344,199",Consumer Electronics,Technology,44.42%,16.18M,847.00K,-92.20M
1528,BCML,BayCom Corp,281.92M,25.50,-2.19%,96.25M,"16,771",Banks - Regional,Financials,-6.40%,23.61M,28.66M,117.22M
1529,AUDC,AudioCodes Ltd.,281.47M,9.55,-2.55%,242.18M,"70,330",Communication Equipment,Technology,-0.90%,15.31M,10.97M,54.44M
1530,NUTX,Nutex Health Inc.,280.98M,51.68,-7.12%,292.00M,"35,572",Medical Care Facilities,Healthcare,26.03%,-41.13M,20.24M,-256.33M
1531,OLMA,"Olema Pharmaceuticals, Inc.",280.85M,4.110,-2.14%,-,"252,917",Biotechnology,Healthcare,-,-129.47M,-104.51M,432.66M
1532,CADL,"Candel Therapeutics, Inc.",280.81M,5.95,-14.46%,-,"2,053,310",Biotechnology,Healthcare,-,-55.18M,-27.04M,89.18M
1533,LAES,SEALSQ Corp,279.18M,2.630,-7.72%,10.98M,"6,150,694",Semiconductors,Technology,-63.47%,-21.20M,-11.78M,75.75M
1534,PBPB,Potbelly Corporation,279.07M,9.34,-2.30%,462.60M,"137,638",Restaurants,Consumer Discretionary,-5.86%,40.29M,379.00K,-143.08M
1535,TKNO,"Alpha Teknova, Inc.",278.41M,5.21,-4.23%,37.75M,"412,060",Drug Manufacturers - Specialty & Generic,Healthcare,2.89%,-26.75M,-13.52M,224.00K
1536,FLIC,The First of Long Island Corporation,278.19M,12.29,-1.76%,84.93M,"34,947",Banks - Regional,Financials,-9.19%,17.08M,13.48M,-418.63M
1537,ATYR,"aTyr Pharma, Inc.",278.13M,3.130,-3.99%,235.00K,"1,129,749",Biotechnology,Healthcare,-33.43%,-64.02M,-,58.84M
1538,FNLC,"The First Bancorp, Inc.",277.99M,24.83,-1.27%,79.74M,"6,564",Banks - Regional,Financials,0.35%,27.05M,24.57M,-97.67M
1539,ZUMZ,Zumiez Inc.,275.32M,14.37,-6.02%,889.20M,"407,857",Apparel Retail,Consumer Discretionary,1.57%,-1.71M,5.70M,-52.26M
1540,CMPX,"Compass Therapeutics, Inc.",275.18M,1.990,-5.24%,850.00K,"689,095",Biotechnology,Healthcare,-,-49.38M,-44.90M,120.09M
1541,FERA,Fifth Era Acquisition Corp I,274.30M,10.06,-0.10%,-,"19,652",Shell Companies,Financials,-,-131.83K,-,-172.92K
1542,PAMT,Pamt Corp.,274.13M,12.58,-1.87%,714.65M,"8,864",Trucking,Industrials,-11.86%,-31.80M,-81.72M,-214.90M
1543,JAKK,"JAKKS Pacific, Inc.",273.75M,24.56,-3.61%,691.04M,"56,976",Leisure,Consumer Discretionary,-2.88%,35.25M,27.70M,13.41M
1544,XNET,Xunlei Limited,273.54M,4.450,-3.68%,323.14M,"345,924",Software - Infrastructure,Technology,-11.16%,1.22M,-,257.91M
1545,VNDA,Vanda Pharmaceuticals Inc.,273.50M,4.690,1.96%,198.77M,"732,532",Biotechnology,Healthcare,3.18%,-18.90M,-20.48M,362.28M
1546,CZFS,"Citizens Financial Services, Inc.",273.34M,57.43,-2.99%,99.27M,"5,897",Banks - Regional,Financials,14.98%,27.82M,31.87M,-257.24M
1547,NECB,"Northeast Community Bancorp, Inc.",273.21M,23.40,-0.68%,104.84M,"60,877",Banks - Regional,Financials,5.02%,47.07M,48.17M,73.64M
1548,AIRJ,AirJoule Technologies Corporation,272.71M,4.870,-2.79%,-,"56,022",Building Products & Equipment,Industrials,-,215.70M,-24.28M,27.87M
1549,CMPS,COMPASS Pathways plc,272.46M,2.940,-4.85%,-,"562,729",Medical Care Facilities,Healthcare,-,-155.12M,-119.19M,132.89M
1550,SFST,"Southern First Bancshares, Inc.",272.39M,33.31,-1.71%,93.24M,"8,251",Banks - Regional,Financials,8.10%,15.53M,24.77M,-126.74M
1551,SSP,The E.W. Scripps Company,272.24M,3.140,-4.85%,2.51B,"1,217,547",Broadcasting,Communication Services,9.46%,86.89M,300.42M,-2.68B
1552,HDSN,"Hudson Technologies, Inc.",272.08M,6.18,-2.52%,237.12M,"391,268",Specialty Chemicals,Materials,-17.96%,24.39M,86.51M,63.26M
1553,LUNG,Pulmonx Corporation,271.41M,6.82,0.44%,83.79M,"295,171",Medical Devices,Healthcare,22.01%,-56.39M,-32.98M,45.01M
1554,RHLD,"Resolute Holdings Management, Inc.",271.31M,31.97,-1.17%,419.61M,"34,759",Specialty Business Services,Industrials,3.21%,108.86M,116.97M,-288.11M
1555,SEPN,"Septerna, Inc.",271.10M,6.10,-3.02%,1.08M,"182,667",Biotechnology,Healthcare,611.92%,-71.80M,-69.57M,395.31M
1556,ONEW,OneWater Marine Inc.,270.47M,16.58,-4.60%,1.78B,"107,220",Specialty Retail,Consumer Discretionary,-7.72%,-10.51M,83.83M,-1.03B
1557,BLZE,"Backblaze, Inc.",269.87M,4.970,-4.42%,127.63M,"367,361",Software - Infrastructure,Technology,25.10%,-48.53M,10.79M,8.58M
1558,GMGI,"Golden Matrix Group, Inc.",269.46M,2.040,-2.86%,151.12M,"85,179",Electronic Gaming & Multimedia,Communication Services,62.50%,-1.48M,16.75M,-8.89M
1559,DCGO,DocGo Inc.,269.23M,2.640,-3.30%,616.56M,"481,761",Medical Care Facilities,Healthcare,-1.24%,19.99M,66.50M,32.05M
1560,SMTI,Sanara MedTech Inc.,268.75M,30.19,-3.30%,86.67M,"16,159",Medical Instruments & Supplies,Healthcare,33.36%,-9.66M,-229.63K,-16.41M
1561,PCB,PCB Bancorp,267.97M,18.79,-1.26%,96.31M,"10,075",Banks - Regional,Financials,-3.03%,24.93M,34.91M,165.12M
1562,OBT,"Orange County Bancorp, Inc.",267.84M,23.58,-2.40%,100.03M,"15,404",Banks - Regional,Financials,6.48%,27.88M,32.87M,3.55M
1563,PROK,ProKidney Corp.,266.35M,0.910,-3.48%,76.00K,"378,928",Biotechnology,Healthcare,-,-61.19M,-155.86M,355.06M
1564,GOSS,"Gossamer Bio, Inc.",265.85M,1.170,0.86%,114.70M,"1,096,065",Biotechnology,Healthcare,-,-56.53M,-3.47M,91.64M
1565,IMMP,Immutep Limited,265.79M,1.860,2.20%,3.02M,"23,921",Biotechnology,Healthcare,24.11%,-27.15M,-28.30M,97.52M
1566,CERS,Cerus Corporation,263.82M,1.420,-1.39%,180.27M,"881,484",Medical Devices,Healthcare,15.29%,-20.92M,8.52M,-17.65M
1567,GEVO,"Gevo, Inc.",262.40M,1.135,-9.92%,16.92M,"4,385,498",Specialty Chemicals,Materials,-1.66%,-78.64M,-108.47M,118.77M
1568,CEPO,"Cantor Equity Partners I, Inc.",262.14M,10.28,0.34%,-,9,Shell Companies,Financials,-,-3.47K,-,-
1569,EGHT,"8x8, Inc.",262.07M,1.990,-5.69%,717.44M,"1,061,168",Software - Application,Technology,-2.23%,-45.40M,67.98M,-321.59M
1570,SLRN,"Acelyrin, Inc.",261.85M,2.600,-1.52%,-,"320,860",Biotechnology,Healthcare,-,-248.23M,-305.17M,440.58M
1571,LIEN,"Chicago Atlantic BDC, Inc.",261.00M,11.44,-4.69%,12.68M,"8,269",Asset Management,Financials,22.94%,4.15M,-,30.11M
1572,MBX,"MBX Biosciences, Inc.",259.37M,7.76,4.72%,-,"319,940",Biotechnology,Healthcare,-,-61.92M,-55.56M,261.98M
1573,DRUG,Bright Minds Biosciences Inc.,259.36M,36.50,0.91%,-,"25,976",Biotechnology,Healthcare,-,-742.31K,-,40.11M
1574,ASUR,"Asure Software, Inc.",259.27M,9.61,-1.74%,119.79M,"43,297",Software - Application,Technology,0.60%,-11.77M,8.70M,3.69M
1575,TSVT,"2seventy bio, Inc.",259.07M,4.950,-,37.86M,"444,745",Biotechnology,Healthcare,-62.28%,-57.25M,-85.71M,-60.10M
1576,PCYO,Pure Cycle Corporation,258.35M,10.73,0.47%,29.11M,"35,923",Utilities - Regulated Water,Utilities,56.25%,13.49M,1.31M,11.99M
1577,COFS,"ChoiceOne Financial Services, Inc.",257.94M,28.76,-1.54%,91.11M,"144,892",Banks - Regional,Financials,12.99%,26.73M,46.94M,-90.97M
1578,LNKB,"LINKBANCORP, Inc.",257.86M,6.90,-2.27%,108.50M,"11,554",Banks - Regional,Financials,255.70%,26.21M,-,37.89M
1579,HVII,Hennessy Capital Investment Corp. VII,257.11M,9.88,-,-,"111,551",Shell Companies,Financials,-,-,-,-
1580,OSUR,"OraSure Technologies, Inc.",256.56M,3.430,-1.72%,185.83M,"420,386",Medical Instruments & Supplies,Healthcare,-54.17%,-19.50M,23.58M,253.16M
1581,SBT,"Sterling Bancorp, Inc. (Southfield, MI)",255.22M,4.880,-0.41%,66.06M,"9,716",Banks - Regional,Financials,-13.39%,2.14M,-2.21M,866.59M
1582,TERN,"Terns Pharmaceuticals, Inc.",254.91M,2.920,-6.41%,-,"551,828",Biotechnology,Healthcare,-,-88.85M,-70.06M,356.82M
1583,QTRX,Quanterix Corporation,254.37M,6.56,-3.10%,137.42M,"490,129",Medical Devices,Healthcare,12.30%,-38.53M,-38.53M,251.75M
1584,JOUT,Johnson Outdoors Inc.,254.28M,24.91,-3.56%,561.85M,"20,159",Leisure,Consumer Discretionary,-9.98%,-45.78M,16.66M,51.56M
1585,PRME,"Prime Medicine, Inc.",254.05M,1.990,-0.50%,2.98M,"739,028",Biotechnology,Healthcare,-,-195.88M,-130.16M,149.65M
1586,LFCR,"Lifecore Biomedical, Inc.",253.62M,6.85,0.29%,130.86M,"235,567",Drug Manufacturers - Specialty & Generic,Healthcare,16.47%,-16.38M,-14.40M,-121.89M
1587,PLBC,Plumas Bancorp,253.50M,42.82,-1.37%,81.28M,"8,467",Banks - Regional,Financials,4.55%,28.62M,29.83M,20.19M
1588,HLXB,Helix Acquisition Corp. II,253.19M,10.77,0.19%,-,"51,587",Shell Companies,Financials,-,7.60M,-,1.70M
1589,ACB,Aurora Cannabis Inc.,253.08M,4.430,-4.11%,222.96M,"1,001,640",Drug Manufacturers - Specialty & Generic,Healthcare,20.72%,3.49M,-20.29M,5.37M
1590,GCL,GCL Global Holdings Ltd,253.04M,1.980,-1.00%,112.35M,"64,610",Electronic Gaming & Multimedia,Communication Services,25.23%,-355.40K,-7.30M,-11.85M
1591,LOKV,Live Oak Acquisition Corp. V,252.82M,10.11,0.52%,-,55,Shell Companies,Financials,-,-222.85K,-,-58.37K
1592,HUMA,"Humacyte, Inc.",252.19M,1.960,-2.49%,-,"11,956,613",Biotechnology,Healthcare,-,-148.70M,-,-36.08M
1593,AACB,Artius II Acquisition Inc.,251.75M,10.07,0.30%,-,"55,550",Shell Companies,Financials,-,-204.66K,-,-127.62K
1594,AVIR,"Atea Pharmaceuticals, Inc.",250.59M,2.930,-2.98%,-,"203,916",Biotechnology,Healthcare,-,-168.39M,-135.50M,453.08M
1595,AZ,A2Z Cust2Mate Solutions Corp.,250.57M,7.31,-1.48%,6.63M,"94,444",Software - Application,Technology,-52.25%,-9.23M,-10.56M,1.42M
1596,IHRT,"iHeartMedia, Inc.",249.64M,1.640,-6.82%,3.85B,"485,490",Broadcasting,Communication Services,2.76%,-1.01B,-26.17M,-5.60B
1597,IMMR,Immersion Corporation,249.45M,7.70,-3.99%,163.13M,"315,579",Software - Application,Technology,338.21%,66.27M,-45.11M,-241.03M
1598,GWRS,"Global Water Resources, Inc.",249.04M,10.28,1.18%,52.69M,"42,869",Utilities - Regulated Water,Utilities,-0.63%,5.79M,-10.54M,-115.72M
1599,FDBC,"Fidelity D & D Bancorp, Inc.",248.15M,42.48,-1.87%,79.43M,"3,077",Banks - Regional,Financials,9.79%,20.79M,24.90M,65.35M
1600,EU,enCore Energy Corp.,247.69M,1.310,-5.76%,58.33M,"1,994,675",Uranium,Energy,163.38%,-61.39M,-65.94M,44.14M
1601,ANNX,"Annexon, Inc.",246.85M,2.250,0.45%,-,"1,072,019",Biotechnology,Healthcare,-,-138.20M,-118.02M,283.05M
1602,MNPR,Monopar Therapeutics Inc.,245.95M,40.33,-2.56%,-,"17,602",Biotechnology,Healthcare,-,-6.47M,-,6.02M
1603,NHIC,NewHold Investment Corp III,245.74M,10.22,-,-,-,Shell Companies,Financials,-,-216.00K,-,-185.00K
1604,CDTX,"Cidara Therapeutics, Inc.",245.25M,22.39,3.75%,1.28M,"77,031",Biotechnology,Healthcare,-94.52%,-169.83M,-176.66M,186.25M
1605,BRY,Berry Corporation,244.77M,3.170,-6.21%,783.84M,"630,028",Oil & Gas Exploration & Production,Energy,-9.22%,19.25M,107.87M,-419.84M
1606,NVCT,"Nuvectis Pharma, Inc.",244.68M,10.46,8.39%,-,"134,256",Biotechnology,Healthcare,-,-19.00M,-,18.53M
1607,TSBK,"Timberland Bancorp, Inc.",244.15M,30.69,-0.90%,75.33M,"7,231",Banks - Regional,Financials,-0.79%,24.85M,13.58M,150.04M
1608,FACT,FACT II Acquisition Corp,243.94M,10.03,-,-,"114,076",Shell Companies,Financials,-,-143.78K,-,1.45M
1609,XOMA,XOMA Royalty Corporation,243.53M,20.33,-3.05%,28.49M,"11,414",Biotechnology,Healthcare,498.72%,-19.29M,-13.77M,-14.02M
1610,JMSB,"John Marshall Bancorp, Inc.",243.36M,17.12,-0.93%,53.69M,"23,299",Banks - Regional,Financials,38.39%,17.12M,-,36.31M
1611,LFMD,"LifeMD, Inc.",242.98M,5.45,-2.68%,212.45M,"727,291",Health Information Services,Healthcare,39.27%,-21.99M,16.02M,9.90M
1612,NTWO,Newbury Street II Acquisition Corp,242.37M,10.05,-,-,18,Shell Companies,Financials,-,-,-,-
1613,FRST,Primis Financial Corp.,242.04M,9.79,-1.61%,107.70M,"75,922",Banks - Regional,Financials,-2.92%,-7.54M,-,-59.54M
1614,ZYBT,Zhengye Biotechnology Holding Limited,241.93M,5.11,-5.46%,26.11M,"226,499",Drug Manufacturers - Specialty & Generic,Healthcare,-25.23%,2.79M,6.46M,-10.85M
1615,ITOS,"iTeos Therapeutics, Inc.",241.39M,6.32,-5.74%,35.00M,"145,527",Biotechnology,Healthcare,177.89%,-134.41M,-99.81M,489.55M
1616,ABEO,Abeona Therapeutics Inc.,241.21M,4.970,-1.39%,-,"514,640",Biotechnology,Healthcare,-,-63.73M,-58.46M,74.67M
1617,STIM,"Neuronetics, Inc.",240.07M,3.770,-5.75%,74.89M,"1,716,206",Diagnostics & Research,Healthcare,4.96%,-43.20M,-32.46M,-64.17M
1618,DOYU,DouYu International Holdings Limited,239.80M,7.58,-6.07%,585.12M,"133,840",Internet Content & Information,Communication Services,-22.78%,-40.75M,-,557.86M
1619,AVNW,"Aviat Networks, Inc.",239.47M,18.88,-2.63%,434.11M,"83,286",Communication Equipment,Technology,22.94%,-1.97M,8.00M,-26.06M
1620,UROY,Uranium Royalty Corp.,239.44M,1.770,-2.21%,15.98M,"1,430,029",Uranium,Energy,-47.81%,743.45K,-,11.80M
1621,ATII,Archimedes Tech SPAC Partners II Co.,239.31M,10.07,-,-,"62,878",Shell Companies,Financials,-,-,-,-
1622,BYND,"Beyond Meat, Inc.",239.05M,3.140,-5.14%,326.45M,"2,599,346",Packaged Foods,Consumer Staples,-4.93%,-160.28M,-109.83M,-1.09B
1623,DSGN,"Design Therapeutics, Inc.",238.97M,4.210,0.48%,-,"46,913",Biotechnology,Healthcare,-,-49.59M,-43.45M,243.14M
1624,MAMA,"Mama's Creations, Inc.",238.30M,6.34,-4.23%,116.47M,"163,753",Packaged Foods,Consumer Staples,17.20%,3.52M,7.64M,-1.74M
1625,PLMK,Plum Acquisition Corp. IV,236.57M,10.07,0.30%,-,"1,969",Shell Companies,Financials,-,-,-,-
1626,OACC,Oaktree Acquisition Corp. III Life Sciences,236.24M,10.22,-,-,-,Shell Companies,Financials,-,-,-,-
1627,PAL,"Proficient Auto Logistics, Inc.",235.97M,8.73,-4.90%,147.41M,"339,786",Integrated Freight & Logistics,Industrials,-,-5.89M,1.28M,-67.85M
1628,PHLT,"Performant Healthcare, Inc.",234.93M,3.000,3.81%,122.98M,"225,042",Health Information Services,Healthcare,8.12%,-9.90M,-832.00K,447.00K
1629,WSBF,"Waterstone Financial, Inc.",234.51M,13.46,-1.32%,135.64M,"24,371",Banks - Regional,Financials,3.74%,18.69M,46.96M,-405.91M
1630,BZAI,"Blaize Holdings, Inc.",234.16M,2.305,-17.09%,1.55M,"917,606",Software - Application,Technology,-48.79%,-61.20M,-43.44M,-100.14M
1631,AEHR,"Aehr Test Systems, Inc.",234.13M,7.88,-8.37%,50.74M,"723,232",Semiconductor Equipment & Materials,Technology,-37.77%,22.03M,-5.92M,25.79M
1632,HIVE,HIVE Digital Technologies Ltd.,233.85M,1.500,-6.83%,121.00M,"8,081,100",Capital Markets,Financials,26.29%,-6.59M,-163.10M,15.35M
1633,NATR,"Nature's Sunshine Products, Inc.",233.82M,12.65,0.32%,454.36M,"41,444",Packaged Foods,Consumer Staples,2.03%,7.70M,14.33M,70.50M
1634,OCGN,"Ocugen, Inc.",233.47M,0.800,10.44%,4.06M,"6,886,853",Biotechnology,Healthcare,-32.82%,-54.05M,-45.53M,26.01M
1635,KINS,"Kingstone Companies, Inc.",233.29M,16.99,-3.41%,155.14M,"173,991",Insurance - Property & Casualty,Financials,7.60%,18.36M,55.61M,17.50M
1636,INSE,"Inspired Entertainment, Inc.",233.26M,8.67,-2.14%,297.10M,"121,533",Gambling,Consumer Discretionary,-7.99%,64.80M,14.70M,-321.50M
1637,CDXS,"Codexis, Inc.",232.77M,2.810,-3.77%,59.35M,"822,987",Biotechnology,Healthcare,-15.39%,-65.28M,-53.72M,13.56M
1638,TENX,"Tenax Therapeutics, Inc.",232.69M,6.49,5.02%,-,"38,800",Biotechnology,Healthcare,-,-17.60M,-14.81M,94.85M
1639,QSI,Quantum-Si incorporated,232.59M,1.270,-3.05%,3.06M,"3,114,375",Medical Devices,Healthcare,182.63%,-101.01M,-92.38M,196.66M
1640,CDZI,Cadiz Inc.,232.32M,3.090,-3.74%,9.61M,"439,040",Utilities - Regulated Water,Utilities,194.63%,-36.25M,-23.34M,-68.60M
1641,LSEA,Landsea Homes Corporation,231.61M,6.38,-5.83%,1.55B,"295,968",Real Estate - Development,Real Estate,28.13%,17.23M,23.74M,-696.53M
1642,BWFG,"Bankwell Financial Group, Inc.",231.50M,30.13,-1.76%,64.38M,"8,951",Banks - Regional,Financials,-34.60%,9.53M,29.32M,139.03M
1643,ILPT,Industrial Logistics Properties Trust,230.84M,3.490,-1.69%,442.32M,"126,739",REIT - Industrial,Real Estate,1.14%,-95.68M,-,-4.16B
1644,HFFG,HF Foods Group Inc.,230.46M,4.370,-7.61%,1.20B,"436,559",Food Distribution,Consumer Staples,4.63%,-48.51M,10.09M,-189.78M
1645,FINW,FinWise Bancorp,230.41M,17.44,-0.51%,69.82M,"14,892",Banks - Regional,Financials,9.10%,12.74M,-,103.80M
1646,CRVS,"Corvus Pharmaceuticals, Inc.",230.30M,3.380,0.30%,-,"639,537",Biotechnology,Healthcare,-,-62.29M,-25.42M,50.84M
1647,RCEL,"AVITA Medical, Inc.",230.10M,8.73,-5.31%,64.25M,"98,628",Medical Devices,Healthcare,28.14%,-61.85M,-58.11M,-10.10M
1648,AFRI,Forafric Global PLC,229.55M,8.54,-1.61%,325.10M,"2,624",Farm Products,Consumer Staples,15.94%,-16.81M,30.25M,-161.07M
1649,PDYN,Palladyne AI Corp.,229.28M,6.51,5.51%,7.79M,"1,394,182",Software - Infrastructure,Technology,26.68%,-72.62M,-22.89M,29.04M
1650,GDEV,GDEV Inc.,227.02M,12.54,3.62%,432.53M,"18,199",Electronic Gaming & Multimedia,Communication Services,-4.80%,38.98M,32.97M,115.52M
1651,ATLN,Atlantic International Corp.,225.91M,3.940,-1.75%,442.61M,"22,333",Diagnostics & Research,Healthcare,5.50%,-135.48M,-17.32M,-82.04M
1652,INBK,First Internet Bancorp,225.86M,25.97,-3.02%,117.65M,"39,188",Banks - Regional,Financials,39.44%,25.28M,10.40M,66.26M
1653,CFFI,C&F Financial Corporation,225.79M,69.69,-3.02%,113.99M,"13,586",Banks - Regional,Financials,-4.25%,19.83M,35.00M,-57.53M
1654,IRWD,"Ironwood Pharmaceuticals, Inc.",225.64M,1.410,-3.42%,351.41M,"876,918",Drug Manufacturers - Specialty & Generic,Healthcare,-20.63%,1.81M,-,-510.92M
1655,MVBF,MVB Financial Corp.,225.57M,17.42,-2.08%,148.57M,"17,163",Banks - Regional,Financials,1.83%,20.09M,-1.91M,213.29M
1656,ALCO,"Alico, Inc.",224.78M,29.43,-1.64%,49.55M,"21,231",Farm Products,Consumer Staples,14.59%,-45.14M,-41.95M,-100.50M
1657,SAMG,Silvercrest Asset Management Group Inc.,224.55M,16.47,-0.18%,123.65M,"22,345",Asset Management,Financials,5.32%,9.54M,19.89M,46.08M
1658,PKBK,"Parke Bancorp, Inc.",224.18M,18.93,-0.11%,62.28M,"18,031",Banks - Regional,Financials,-14.63%,27.49M,35.04M,31.02M
1659,CHMG,Chemung Financial Corporation,224.07M,46.79,-1.12%,97.34M,"4,804",Banks - Regional,Financials,-2.16%,23.67M,26.19M,-73.11M
1660,FBLA,"FB Bancorp, Inc.",223.17M,11.25,-1.23%,64.94M,"50,526",Banks - Regional,Financials,-5.13%,-6.21M,-,25.78M
1661,BLDE,"Blade Air Mobility, Inc.",223.14M,2.800,-5.72%,248.69M,"632,720",Airports & Air Services,Industrials,10.44%,-27.31M,-33.39M,117.81M
1662,ALLT,Allot Ltd.,222.80M,5.85,-3.31%,92.20M,"517,901",Software - Infrastructure,Technology,-1.03%,-5.87M,2.71M,11.52M
1663,OM,"Outset Medical, Inc.",222.66M,12.58,3.88%,113.69M,"155,864",Medical Devices,Healthcare,-12.80%,-127.98M,-117.22M,-43.17M
1664,IONR,ioneer Ltd,222.49M,3.959,3.37%,-,"6,123",Other Industrial Metals & Mining,Materials,-,-9.80M,-31.86M,20.23M
1665,NWFL,Norwood Financial Corp.,222.19M,24.13,-2.27%,48.37M,"6,649",Banks - Regional,Financials,-25.18%,-160.00K,19.68M,-146.41M
1666,WHF,"WhiteHorse Finance, Inc.",221.74M,9.54,-0.10%,92.82M,"71,113",Asset Management,Financials,-10.11%,10.85M,-,-340.69M
1667,MBCN,Middlefield Banc Corp.,221.27M,27.38,-4.40%,65.89M,"3,312",Banks - Regional,Financials,-4.37%,15.52M,16.69M,-128.67M
1668,MACI,Melar Acquisition Corp. I,221.19M,10.23,-,-,46,Shell Companies,Financials,-,5.05M,-,878.25K
1669,SSTI,"SoundThinking, Inc.",220.35M,17.44,-5.83%,102.03M,"64,147",Software - Application,Technology,10.05%,-9.18M,-,8.04M
1670,DYNX,Dynamix Corporation,220.01M,9.94,0.10%,-,"12,232",Shell Companies,Financials,-,-232.41K,-227.69K,1.54M
1671,ENGN,enGene Holdings Inc.,219.20M,4.300,-9.47%,-,"32,672",Biotechnology,Healthcare,-,-69.05M,-67.33M,188.68M
1672,ENGNW,enGene Holdings Inc.,219.20M,0.620,-0.06%,-,"3,404",Biotechnology,Healthcare,-,-69.05M,-67.33M,188.68M
1673,CRDF,"Cardiff Oncology, Inc.",218.86M,3.290,-4.36%,683.00K,"814,060",Biotechnology,Healthcare,39.96%,-45.46M,-37.77M,90.22M
1674,SOPH,SOPHiA GENETICS SA,217.87M,3.260,-11.41%,65.17M,"48,672",Health Information Services,Healthcare,4.49%,-62.49M,-43.07M,50.20M
1675,RR,Richtech Robotics Inc.,217.56M,1.900,-13.24%,4.39M,"7,634,252",Specialty Industrial Machinery,Industrials,-50.77%,-8.94M,-8.25M,35.17M
1676,YMAB,"Y-mAbs Therapeutics, Inc.",217.50M,4.810,-3.02%,87.69M,"160,016",Biotechnology,Healthcare,3.38%,-29.67M,-15.71M,66.41M
1677,HPAI,Helport AI Limited,217.23M,5.85,-0.85%,29.58M,"10,384",Software - Infrastructure,Technology,132.36%,7.37M,-,-2.29M
1678,RGP,"Resources Connection, Inc.",217.08M,6.56,-2.81%,582.06M,"150,546",Consulting Services,Industrials,-17.38%,-61.40M,22.90M,50.44M
1679,TDAC,Translational Development Acquisition Corp.,217.00M,10.08,-,-,"7,178",Shell Companies,Financials,-,-546.81K,-,-434.70K
1680,NGNE,Neurogene Inc.,216.78M,14.52,-5.28%,925.00K,"97,665",Biotechnology,Healthcare,-,-75.14M,-71.41M,299.98M
1681,ESEA,Euroseas Ltd.,216.50M,30.72,1.15%,212.90M,"22,237",Marine Shipping,Industrials,12.43%,112.78M,-50.75M,-131.66M
